GeneID	Length	ORF1_1_mapped_reads(7655775)	ORF1_1_IPTG_mapped_reads(7178582)	ORF1_2_mapped_reads(7706927)	ORF1_2_IPTG_mapped_reads(7070827)	Svi3_3_1_mapped_reads(8018710)	Svi3_3_1_IPTG_mapped_reads(8299205)	Svi3_3_2_mapped_reads(7313736)	Svi3_3_2_IPTG_mapped_reads(8344539)	WT1_IPTG_mapped_reads(8074159)	WT2_IPTG_mapped_reads(8103887)	ORF1_1_coverage	ORF1_1_IPTG_coverage	ORF1_2_coverage	ORF1_2_IPTG_coverage	Svi3_3_1_coverage	Svi3_3_1_IPTG_coverage	Svi3_3_2_coverage	Svi3_3_2_IPTG_coverage	WT1_IPTG_coverage	WT2_IPTG_coverage	ORF1_1_rpkm	ORF1_1_IPTG_rpkm	ORF1_2_rpkm	ORF1_2_IPTG_rpkm	Svi3_3_1_rpkm	Svi3_3_1_IPTG_rpkm	Svi3_3_2_rpkm	Svi3_3_2_IPTG_rpkm	WT1_IPTG_rpkm	WT2_IPTG_rpkm	Symbol	Description	KEGG Orthology	GO Component	GO Function	GO Process
b1316	2268	107	47	78	54	74	82	63	56	76	64	93.3%	85.1%	85.32%	80.56%	86.95%	91.14%	73.41%	81.39%	85.58%	69.58%	6.1624238579979	2.88679631387332	4.4624185997265	3.36728982472967	4.06896694869864	4.35646580869728	3.79802850113509	2.9589840762553	4.15024031312324	3.4821185050287	ycjT	putative family 65 glycosyl hydrolase; 	K04844|1|0.0|1538|elp:P12B_c1778|hypothetical glycosyl hydrolase [EC:3.2.1.-]	-	GO:0016798//hydrolase activity, acting on glycosyl bonds;GO:0030246//carbohydrate binding;GO:0033831	GO:0005975//carbohydrate metabolic process
b4652	114	-	-	-	-	1	-	-	-	3	-	-	-	-	-	87.72%	-	-	-	91.23%	-	-	-	-	-	1.09393279275113	-	-	-	3.25926074451645	-	yibU	-	-	-	-	-
b3876	1404	58	52	37	62	52	74	50	69	45	55	82.12%	97.51%	97.51%	92.02%	94.87%	89.74%	90.67%	90.74%	85.11%	83.97%	5.39599731059773	5.15938064607147	3.41942727020463	6.24531531595161	4.61882734717143	6.35079537215344	4.86926730914756	5.88951638254661	3.9696124452444	4.83395056887999	yihO	putative transporter; 	K03292|1|0.0|939|edj:ECDH1ME8569_3747|glycoside/pentoside/hexuronide:cation symporter, GPH family	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0015293//symporter activity	GO:0006814//sodium ion transport;GO:0008643//carbohydrate transport
b3110	1332	70	75	71	65	106	96	54	83	61	80	99.55%	97.15%	99.17%	98.57%	98.95%	98.12%	98.42%	97.07%	93.54%	98.12%	6.86443273901761	7.84365300923028	6.91628496069877	6.90142734347747	9.92423713784132	8.68421397857651	5.54306862327824	7.46743616541457	5.67189670104289	7.41126573705434	yhaO	putative transporter; 	K03837|1|7e-70|268|ftn:FTN_0176|serine transporter	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	GO:0006810//transport
b1751	678	41	47	68	50	32	30	30	49	49	62	95.58%	91.74%	99.12%	94.69%	94.84%	87.76%	94.99%	89.23%	94.99%	95.28%	7.89887064355731	9.65671687295678	13.0136155760574	10.4296587491627	5.88593927427156	5.33156942268801	6.04995690446298	8.66092020549948	8.95094912432099	11.2841439828336	ydjY	putative ferrodoxin-like lipoprotein; 	-	-	GO:0051536//iron-sulfur cluster binding	-
b2794	849	708	621	640	547	763	639	712	664	760	792	99.76%	99.65%	99.65%	99.76%	99.76%	99.53%	99.53%	99.65%	99.65%	99.88%	108.927216576258	101.893210003157	97.8117520744619	91.1191006281972	112.075927183838	90.6894306958854	114.665567186213	93.7255592210337	110.868610484847	115.112931709527	queF	7-cyano-7-deazaguanine reductase (NADPH-dependent); 	K06879|1|3e-165|584|elp:P12B_c2892|7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	GO:0005737//cytoplasm	GO:0033739;GO:0046857	GO:0008616//queuosine biosynthetic process;GO:0055114//oxidation-reduction process
b3548	699	561	333	298	427	1272	1168	605	432	609	657	99.86%	98.14%	98.57%	98.71%	99.57%	99.86%	99.86%	98.43%	99.43%	99.57%	104.832640365755	66.3633639325159	55.3169011497295	86.3933844301887	226.937062104801	201.33958760631	118.342003940948	74.063498423695	107.90531065751	115.983127984155	yhjY	autotransporter beta-domain protein; 	K12686|1|5e-31|137|ebi:EbC_45430|outer membrane lipase/esterase	GO:0019867//outer membrane	-	-
b3162	1890	6500	4535	5705	2749	10291	8159	10565	8399	8575	9939	99.95%	99.95%	99.79%	99.84%	99.95%	99.95%	99.95%	99.95%	99.95%	99.84%	449.223421424146	334.25416042763	391.663047868303	205.703993959597	679.033603282017	520.162017558455	764.308021228424	532.553726924321	561.920695026818	648.914546652755	deaD	ATP-dependent RNA helicase; 	K05592|1|0.0|950|sbc:SbBS512_E3609|ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	GO:0005737//cytoplasm;GO:0030684//preribosome	GO:0003723//RNA binding;GO:0004004//ATP-dependent RNA helicase activity;GO:0005524//ATP binding;GO:0005515//protein binding	GO:0000027//ribosomal large subunit assembly;GO:0006401//RNA catabolic process;GO:0006355//regulation of transcription, DNA-templated;GO:0070417//cellular response to cold
b1347	210	10	4	8	5	7	10	5	5	5	6	75.71%	74.29%	91.43%	85.71%	86.67%	87.14%	82.86%	88.1%	92.86%	92.86%	6.22001660433433	2.65339576083676	4.94298675662013	3.36728982472967	4.15694461245429	5.73778423584519	3.25545300097294	2.8533060735319	2.94885495932441	3.52564498634156	rcbA	double-strand break reduction protein, Rac prophage; 	-	-	-	GO:0006259//DNA metabolic process
b0579	369	84	116	96	90	198	118	110	70	112	130	98.64%	99.19%	98.37%	95.12%	99.19%	98.92%	97.29%	96.21%	98.1%	98.37%	29.7347135231592	43.7918162154359	33.7569827281375	34.4941884484503	66.9166693712154	38.5317868195783	40.7593302560839	22.7336581468395	37.5919071237453	43.473400238087	ybdF	DUF419 family protein; 	-	-	-	-
b4151	360	483	236	252	312	394	393	365	347	379	427	98.89%	98.33%	96.11%	96.39%	96.94%	97.78%	96.11%	98.33%	96.94%	97.5%	175.24896782712	91.321037435465	90.8273816528949	122.56934962016	136.486348108916	131.538703606751	138.628040291431	115.511340876816	130.388536784794	146.363234224652	frdD	fumarate reductase (anaerobic), membrane anchor subunit; 	K00247|1|1e-47|191|sdz:Asd1617_05768|fumarate reductase subunit D	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0016491//oxidoreductase activity;GO:0009055//electron carrier activity	GO:0009061//anaerobic respiration;GO:0006113//fermentation;GO:0006106//fumarate metabolic process
b1520	915	377	374	385	418	257	322	278	306	350	401	99.89%	99.89%	99.45%	99.89%	99.45%	99.56%	99.89%	99.67%	99.56%	99.02%	53.8184387502895	56.9392631300871	54.5956938897182	64.6078034567804	35.0273693574017	42.4031661232625	41.541715015694	40.0772564557727	47.3750468875069	54.0791556101681	yneE	bestrophin family putative inner membrane protein; 	K08994|1|2e-171|604|ecoh:ECRM13516_1885|putative membrane protein	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	GO:0006928//cellular component movement
b3170	453	1882	1496	1998	1205	1692	1722	2261	2020	2252	2302	99.78%	99.78%	99.78%	99.78%	99.56%	99.78%	99.56%	99.78%	99.56%	99.78%	542.665554605963	460.039079594081	572.289840878221	376.199863199931	465.798032071037	458.034776019059	682.437809886075	534.380766619087	615.705292434304	627.066703199867	rimP	ribosome maturation factor for 30S subunits; 	K09748|1|1e-78|294|sdz:Asd1617_04458|ribosome maturation factor RimP	GO:0005737//cytoplasm	-	GO:0006412//translation;GO:0000028//ribosomal small subunit assembly
b0596	747	90	1184	722	402	94	65	57	99	75	97	98.93%	99.87%	99.6%	97.86%	98.93%	98.26%	95.98%	96.65%	98.26%	97.99%	15.7373914085567	220.796627166818	125.410919015854	76.1088639902754	15.6928832759319	10.4847061337733	10.4331385332386	15.882257903274	12.434930551368	16.0235136929446	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase; 	K00216|1|6e-120|433|elp:P12B_c0581|2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	-	GO:0008667//2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity;GO:0000166//nucleotide binding	GO:0009239//enterobactin biosynthetic process;GO:0055114//oxidation-reduction process
b0211	1359	9140	6365	9404	5715	5408	5867	7882	6948	9339	9782	99.93%	100%	99.93%	99.93%	99.93%	99.93%	100%	99.93%	100%	100%	878.491528356093	652.439559183674	897.866810747213	594.739202818147	496.263939606022	520.187772145533	793.008229031704	612.686067074161	851.105939319711	888.208295786432	mltD	putative membrane-bound lytic murein transglycosylase D; 	K08307|1|0.0|890|ssj:SSON53_01160|membrane-bound lytic murein transglycosylase D	GO:0005886//plasma membrane;GO:0009279//cell outer membrane	GO:0008933//lytic transglycosylase activity;GO:0016837;GO:0016798//hydrolase activity, acting on glycosyl bonds	GO:0000270//peptidoglycan metabolic process;GO:0051353//positive regulation of oxidoreductase activity;GO:0071555//cell wall organization;GO:0016998//cell wall macromolecule catabolic process
b2561	849	267	249	170	256	400	321	220	236	291	266	99.06%	99.18%	98.59%	98.82%	98.94%	99.18%	99.65%	99.18%	98.12%	98.94%	41.0784842173175	40.8557315471596	25.9812466447789	42.6444054128309	58.7554008827461	45.5576013354917	35.4303718833804	33.3120963496445	42.4510074356454	38.6616664579976	yfhH	putative DNA-binding transcriptional regulator; 	K15835|1|2e-44|182|vvl:VV93_v1c45260|RpiR family transcriptional regulator, murPQ operon repressor	-	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0003677//DNA binding;GO:0030246//carbohydrate binding;GO:0016853//isomerase activity	GO:0005975//carbohydrate metabolic process;GO:0006355//regulation of transcription, DNA-templated
b1974	531	48	27	45	32	49	34	38	40	42	35	98.68%	92.28%	97.18%	94.54%	94.73%	95.48%	90.4%	93.6%	96.61%	96.8%	11.8074891472109	7.08321749714897	10.996051047566	8.52285786146266	11.5079257632915	7.71521270130597	9.78475139275482	9.02740904620262	9.79619613606075	8.13355010973336	yodB	cytochrome b561 homolog; 	K12262|1|7e-45|182|pcc:PCC21_007310|cytochrome b561	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0046872//metal ion binding	GO:0022904//respiratory electron transport chain
b4227	957	247	191	184	158	226	222	189	167	183	235	99.48%	99.27%	98.12%	99.16%	99.16%	98.43%	98.85%	98.75%	99.9%	98.43%	33.7128799651851	27.8024305034384	24.9473626274558	23.3493576561192	29.4504539941903	27.9514630172521	27.0029110989793	20.9123184950394	23.6832802689315	30.3013897728938	ytfQ	galactofuranose binding proteint: periplasmic-binding component of ABC superfamily; 	K02058|1|2e-167|592|edj:ECDH1ME8569_4084|simple sugar transport system substrate-binding protein	GO:0043190//ATP-binding cassette (ABC) transporter complex;GO:0042597//periplasmic space	GO:0015407//monosaccharide-transporting ATPase activity;GO:0005534//galactose binding	GO:0015757//galactose transport
b0221	2445	769	614	622	622	1619	1202	1079	594	1001	1039	99.63%	99.67%	99.63%	99.84%	99.75%	99.84%	99.84%	99.63%	99.84%	99.84%	41.0826372774622	34.9824999388846	33.0088410096994	35.9783555751484	82.5778322400429	59.2364620373024	60.3397215125119	29.1142249171672	50.705832392604	52.4376605023767	fadE	acyl coenzyme A dehydrogenase; 	K06445|1|0.0|1598|eun:UMNK88_254|acyl-CoA dehydrogenase [EC:1.3.99.-]	-	GO:0050660//flavin adenine dinucleotide binding;GO:0043958;GO:0003995//acyl-CoA dehydrogenase activity	GO:0033539//fatty acid beta-oxidation using acyl-CoA dehydrogenase
b1463	846	98	65	116	75	145	110	81	98	115	85	96.22%	93.5%	99.29%	94.56%	99.05%	98.7%	98.82%	97.52%	99.17%	97.52%	15.1309623779197	10.7029704891908	17.7912466594661	12.5377812622913	21.3743605959529	15.6669995092227	13.0910769613593	13.8820423151978	16.8356612925968	12.3981014590616	nhoA	N-hydroxyarylamine O-acetyltransferase; 	K00675|1|2e-167|591|eun:UMNK88_1867|N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	-	GO:0046990	GO:0008152//metabolic process
b2321	996	554	438	540	511	366	390	412	426	508	516	99.5%	98.39%	99.5%	99.6%	99.8%	99.3%	99.4%	99.6%	99.3%	99.3%	72.6542903361702	61.2598750205233	70.3482301958738	72.5590102593857	45.8265580770563	47.1811776019801	56.5585931012407	51.2563777787477	63.1694472009494	63.9288639089645	flk	putative flagella assembly protein; 	-	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	-	GO:0010468//regulation of gene expression;GO:0051301//cell division
b2276	1458	5925	2613	4216	2911	1148	1293	1521	4015	2112	2201	99.93%	99.73%	99.93%	99.86%	99.52%	99.86%	99.73%	99.86%	99.79%	99.79%	530.813145400753	249.656696818236	375.19913878954	282.367344685253	98.1928480472742	106.857376787315	142.637070375962	330.008918504585	179.406879500626	186.281249329782	nuoN	NADH:ubiquinone oxidoreductase, membrane subunit N; 	K00343|1|0.0|818|ecoh:ECRM13516_2975|NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	GO:0005887//integral component of plasma membrane;GO:0045272//plasma membrane respiratory chain complex I	GO:0048038//quinone binding;GO:0008137//NADH dehydrogenase (ubiquinone) activity	GO:0009060//aerobic respiration;GO:0006810//transport;GO:0042773//ATP synthesis coupled electron transport;GO:0019684//photosynthesis, light reaction
b2319	1014	927	966	938	818	1024	830	959	937	1049	1146	99.8%	99.9%	99.9%	99.9%	99.9%	99.8%	99.9%	99.7%	99.9%	99.8%	119.413277353626	132.709039458418	120.028295280946	114.089358203563	125.938203643586	98.6287763617177	129.312757370008	110.738665895241	128.12687554035	139.461164104694	usg	putative semialdehyde dehydrogenase; 	K00133|1|1e-69|266|vtu:IX91_04575|aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	GO:0005737//cytoplasm	GO:0051287//NAD binding;GO:0004073//aspartate-semialdehyde dehydrogenase activity;GO:0030604//1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;GO:0003942//N-acetyl-gamma-glutamyl-phosphate reductase activity;GO:0046983//protein dimerization activity;GO:0016853//isomerase activity;GO:0050661//NADP binding	GO:0009088//threonine biosynthetic process;GO:0009086//methionine biosynthetic process;GO:0055114//oxidation-reduction process;GO:0009089//lysine biosynthetic process via diaminopimelate;GO:0009097//isoleucine biosynthetic process
b1922	720	15	33	36	31	35	28	25	21	24	41	88.75%	98.47%	98.06%	94.86%	99.17%	90.42%	93.61%	79.58%	83.33%	93.61%	2.72125726439627	6.38473354951345	6.48767011806392	6.08918243305282	6.06221089316251	4.68585712594024	4.74753562641887	3.49529994007658	4.12839694305417	7.02680632694464	fliA	RNA polymerase, sigma 28 (sigma F) factor; 	K02405|1|1e-129|465|ssj:SSON53_06390|RNA polymerase sigma factor for flagellar operon FliA	-	GO:0003899//DNA-directed RNA polymerase activity;GO:0003743//translation initiation factor activity;GO:0016829//lyase activity;GO:0003677//DNA binding;GO:0005515//protein binding;GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0016987//sigma factor activity	GO:0006413//translational initiation;GO:0006355//regulation of transcription, DNA-templated;GO:0006352//DNA-templated transcription, initiation
b2155	1992	585	10148	5892	1433	711	283	446	363	350	386	99.55%	99.9%	99.95%	99.8%	99.75%	99.5%	99.65%	99.55%	99.8%	99.3%	38.359891558357	709.66348368524	383.7886780686	101.738807927299	44.5118617387801	17.1182990530261	30.6130249067395	21.8381046170017	21.761128464894	23.9113773923065	cirA	colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter; 	K16089|1|0.0|1364|ecol:LY180_11265|outer membrane receptor for ferrienterochelin and colicins	GO:0016021//integral component of membrane;GO:0009279//cell outer membrane;GO:0005886//plasma membrane	GO:0004872//receptor activity;GO:0042912//colicin transmembrane transporter activity;GO:0015343//siderophore transmembrane transporter activity	GO:0044718//siderophore transmembrane transport
b2389	1257	328	197	213	274	349	415	304	279	383	459	99.68%	99.84%	99.52%	98.09%	99.6%	99.68%	99.84%	98.17%	99.68%	98.81%	34.0839096027485	21.8319376741879	21.9868533834147	30.8279803524177	34.624669922352	39.7810577688074	33.0673221292144	26.5990776210396	37.7368980713544	45.0592575223367	yfeO	putative ion channel protein; 	-	GO:0016020//membrane	GO:0005216//ion channel activity	GO:0006811//ion transport
b4004	1326	132	88	124	123	178	118	109	128	129	157	97.06%	96.76%	98.27%	99.25%	97.89%	96.46%	93.74%	97.66%	99.47%	99.25%	13.0029306389252	9.24486305811902	12.1338023324272	13.1187173714581	16.7406366745897	10.7226465583894	11.2394146594677	11.5681549406542	12.0489413043889	14.610421719417	zraR	fused DNA-binding response regulator in two-component regulatory system with ZraS: response regulator/sigma54 interaction protein; 	K07713|1|0.0|804|edj:ECDH1ME8569_3864|two-component system, NtrC family, response regulator HydG	GO:0005737//cytoplasm	GO:0017111//nucleoside-triphosphatase activity;GO:0000156//phosphorelay response regulator activity;GO:0003677//DNA binding;GO:0005524//ATP binding;GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0008134//transcription factor binding	GO:0000160//phosphorelay signal transduction system;GO:0035556//intracellular signal transduction;GO:0006355//regulation of transcription, DNA-templated
b3900	447	10	4	2	5	-	14	6	3	7	5	88.81%	44.07%	37.81%	73.83%	-	97.76%	69.57%	53.02%	75.62%	59.73%	2.92215545170069	1.24656176683606	0.580552135844646	1.58194823980588	-	3.77384466518677	1.83528894014582	0.804287618042549	1.93951534237444	1.38028606847824	frvA	putative enzyme IIA component of PTS; 	K11201|1|4e-80|299|sbo:SBO_3916|PTS system, fructose-specific IIA-like component [EC:2.7.1.69]	GO:0005737//cytoplasm;GO:0016021//integral component of membrane	GO:0016301//kinase activity;GO:0005351//sugar:proton symporter activity;GO:0008982//protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	GO:0016310//phosphorylation;GO:0009401//phosphoenolpyruvate-dependent sugar phosphotransferase system
b1754	1167	399	275	279	264	353	274	338	267	327	334	98.71%	99.14%	99.57%	99.23%	99.14%	99.74%	98.54%	99.14%	99.57%	99.23%	44.6593994239223	32.8263935707632	31.0207362971694	31.9935814709534	37.7224022672587	28.2906688029591	39.6010375336862	27.4181442232963	34.7040051511238	35.3168722282201	ynjB	putative ABC superfamily transporter periplasmic-binding protein; 	K05777|1|0.0|728|ebe:B21_01711|putative thiamine transport system substrate-binding protein	-	-	-
b3866	510	1091	966	1021	892	1324	1358	1143	1006	1194	1247	99.61%	99.61%	99.61%	99.61%	99.61%	99.61%	99.61%	99.41%	99.8%	99.8%	279.425098866478	263.856796099679	259.761223158559	247.357149007201	323.752627464087	320.843393799673	306.433876009229	236.388016115431	289.959173529805	301.719167507603	yihI	activator of Der GTPase; 	K09894|1|5e-66|253|sbc:SbBS512_E4340|uncharacterized protein	-	GO:0005515//protein binding	GO:0090071//negative regulation of ribosome biogenesis;GO:0043547//positive regulation of GTPase activity
b0291	2526	171	163	131	120	169	174	192	180	177	160	99.05%	93.35%	96.52%	96.6%	95.25%	96.08%	98.81%	99.29%	98.02%	93.11%	8.84247016079357	8.98908718264471	6.72909568856986	6.71858302321359	8.34351115801395	8.30002517726775	10.392705067239	8.53958587327837	8.6784591320735	7.81615673931621	ecpC	ECP production outer membrane protein; 	-	-	GO:0016702//oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	-
b4428	150	47	29	49	27	63	40	49	37	48	35	95.33%	96.67%	92.67%	92.67%	92.67%	89.33%	91.33%	91.33%	90%	89.33%	40.9277092565199	26.9319669724931	42.3861114380176	25.4567110749563	52.377502116924	32.1315917207331	44.6648151733487	29.5602509217905	39.6326106533201	28.7927673884561	hokB	toxic polypeptide, small; 	K18921|1|2e-07|58.2|ssj:SSON53_10085|protein HokB	-	-	-
b0771	2262	184	123	137	119	170	171	180	171	178	244	99.69%	97.3%	97.79%	96.73%	94.92%	99.51%	99.56%	99.07%	97.79%	96.55%	10.6251742524968	7.57484665146037	7.85862781763711	7.4401921061003	9.3724215400163	9.10892271923965	10.8802938494056	9.05943599474187	9.74608296901383	13.310790531988	ybhJ	putative hydratase; 	K01681|1|0.0|1513|elp:P12B_c0733|aconitate hydratase [EC:4.2.1.3]	-	GO:0052633;GO:0046872//metal ion binding;GO:0051536//iron-sulfur cluster binding	GO:0008152//metabolic process
b1408	606	9	8	6	3	10	14	8	7	5	8	70.3%	57.43%	67.33%	49.5%	62.21%	92.41%	78.88%	62.38%	48.18%	54.62%	1.93990616867853	1.83898716097597	1.28468715209187	0.70012956751805	2.05789337250212	2.78367750055856	1.80500364410381	1.38427720399072	1.02188043144905	1.62901088477828	ynbA	inner membrane protein; 	K00995|1|1e-31|139|kge:TQ33_0577|CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	GO:0016020//membrane	GO:0008444//CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	GO:0008654//phospholipid biosynthetic process
b3297	390	21770	17430	22484	15321	23378	20356	26257	26479	26636	25284	99.74%	99.74%	99.74%	99.74%	99.74%	99.74%	99.74%	99.74%	99.74%	99.74%	7291.29484872698	6225.78493807101	7480.44999664355	5555.87279742743	7475.46547307357	6289.1411641081	9205.36932501269	8136.44370226705	8458.76776732238	7999.95967746949	rpsK	30S ribosomal subunit protein S11; 	K02948|1|6e-69|262|ebt:EBL_c03040|small subunit ribosomal protein S11	GO:0022627//cytosolic small ribosomal subunit	GO:0003735//structural constituent of ribosome;GO:0070181//SSU rRNA binding	GO:0006412//translation
b4257	1197	4	25	15	21	29	38	18	26	34	28	23.39%	69.17%	72.1%	56.39%	63.66%	85.3%	72.43%	60.57%	79.7%	69.42%	0.436492393286619	2.90942517635609	1.62598248573031	2.48116092348502	3.02133818950312	3.82518949056346	2.05607557956186	2.60301606708173	3.51793223217649	2.88649297127379	yjgN	DUF898 family inner membrane protein; 	-	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	-
